epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,28692.4,1.26244,1.59193,1.32852,0.5295,0.37394,0.38132,0.26463,1.17509,1.38162,1.25811,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,29570.6,1.26049,1.58683,1.32756,0.52798,0.37411,0.38195,0.26544,1.1744,1.3812,1.25706,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,30449.7,1.25772,1.58464,1.32674,0.52738,0.37448,0.38203,0.26549,1.17386,1.3819,1.25633,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,31325.3,1.25436,1.57849,1.32459,0.51592,0.37561,0.38244,0.26592,1.17334,1.38285,1.25561,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,32218,1.2554,1.5748,1.32269,0.5139,0.3738,0.38275,0.2665,1.17239,1.38387,1.25481,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,33108.3,1.25071,1.56934,1.31934,0.51752,0.3745,0.38308,0.26691,1.1711,1.38531,1.25369,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,33983.4,1.2523,1.56574,1.31739,0.52034,0.37447,0.38333,0.2672,1.17049,1.38712,1.25284,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,34867.6,1.24965,1.5635,1.31671,0.52136,0.37459,0.38414,0.26758,1.1699,1.38926,1.2522,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,35750.6,1.24639,1.55763,1.31309,0.52028,0.37605,0.38436,0.26774,1.16925,1.39109,1.25146,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,36634.9,1.24701,1.55714,1.31468,0.51925,0.37613,0.38454,0.26794,1.16877,1.39258,1.25071,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,37517.7,1.2451,1.5493,1.31267,0.51817,0.37566,0.38469,0.26801,1.16805,1.39497,1.24966,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
