epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11189.4,1.30099,1.63142,1.32575,0.50477,0.36008,0.36479,0.24884,1.21055,1.42918,1.25049,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,11548.7,1.29906,1.62875,1.32506,0.50388,0.36263,0.3654,0.24943,1.2095,1.42881,1.24957,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11892.4,1.29484,1.62227,1.32299,0.50101,0.36764,0.36684,0.25067,1.20837,1.42937,1.24829,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,12238,1.2928,1.61592,1.31997,0.50201,0.36782,0.36723,0.25099,1.20772,1.4299,1.24741,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,12582.4,1.29455,1.61423,1.31907,0.50678,0.36513,0.3676,0.25166,1.20672,1.43078,1.24632,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,12926.7,1.2893,1.60697,1.31632,0.50578,0.3658,0.36793,0.25251,1.20576,1.43174,1.24521,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,13270.8,1.29014,1.60529,1.31448,0.51091,0.36465,0.36836,0.25302,1.20503,1.43355,1.2445,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,13622.3,1.28837,1.60131,1.31325,0.50821,0.36183,0.36783,0.25282,1.20518,1.43528,1.24406,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,13965.9,1.2859,1.59513,1.31056,0.51837,0.35824,0.36815,0.25316,1.20462,1.43742,1.24338,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,14309.6,1.28529,1.59526,1.31118,0.51739,0.35992,0.36852,0.25344,1.20414,1.43905,1.24242,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
