epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11501.3,1.29942,1.63054,1.32261,0.49456,0.35882,0.36298,0.24695,1.21447,1.42777,1.25166,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,11853.1,1.29762,1.62884,1.32032,0.49251,0.36015,0.36335,0.24733,1.21361,1.42794,1.25101,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,12219.3,1.29369,1.62596,1.31937,0.4911,0.36443,0.36387,0.2482,1.21225,1.42876,1.24958,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,12570.6,1.29116,1.61888,1.31689,0.49846,0.35993,0.36467,0.24884,1.21101,1.42896,1.24845,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,12939.7,1.29303,1.61573,1.31476,0.50067,0.35547,0.36505,0.24931,1.20992,1.42987,1.24699,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,13294.6,1.28809,1.60937,1.3123,0.51045,0.3526,0.36597,0.24976,1.20851,1.43062,1.24564,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,13654.7,1.28868,1.60706,1.31065,0.51459,0.35279,0.36668,0.25047,1.20773,1.43209,1.24474,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,14043.7,1.28606,1.60408,1.30943,0.51409,0.35602,0.36655,0.25079,1.2069,1.43393,1.24393,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,14423,1.28453,1.59789,1.30836,0.51716,0.35602,0.36735,0.25134,1.20616,1.4356,1.24309,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,14787.4,1.28366,1.59887,1.30762,0.51673,0.356,0.36763,0.25169,1.20494,1.43734,1.24199,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
