epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,31792.9,1.26286,1.59486,1.33403,0.49952,0.37028,0.37724,0.26031,1.17421,1.38434,1.26272,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,32784.2,1.26008,1.59185,1.33325,0.50345,0.3684,0.37826,0.26105,1.17304,1.38409,1.26179,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,33775.6,1.25675,1.58676,1.33129,0.49076,0.37508,0.37848,0.26148,1.17178,1.38461,1.26065,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,34766.7,1.25462,1.58241,1.32865,0.49538,0.3727,0.37869,0.26182,1.17118,1.38581,1.25988,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,35758.6,1.2559,1.57936,1.3278,0.49453,0.37436,0.37911,0.26227,1.17069,1.38715,1.25921,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,36750,1.25045,1.57341,1.3245,0.49583,0.37285,0.37942,0.26245,1.16996,1.3884,1.25846,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,37741.2,1.25186,1.57097,1.32252,0.49709,0.37383,0.37998,0.26273,1.16952,1.39043,1.25804,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,38732.4,1.25008,1.56692,1.32135,0.49915,0.37399,0.38011,0.26246,1.16933,1.3925,1.25768,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,39723.9,1.24686,1.56005,1.31883,0.50231,0.37332,0.38075,0.26268,1.16847,1.39442,1.25669,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,40714.5,1.24758,1.56225,1.31904,0.50528,0.37381,0.38118,0.26281,1.16771,1.39673,1.25589,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,41706,1.24464,1.55379,1.31796,0.50457,0.37407,0.38162,0.26326,1.16693,1.39885,1.25502,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,42697.7,1.24666,1.55199,1.31648,0.50698,0.37379,0.38231,0.2639,1.16656,1.40148,1.25436,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
